date,city,permit_type,permit_number,address,description
2015-05-20,houston,New Single Family Dwelling,2422,1107 W 16TH ST,"Project: S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 15023276 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-26,houston,New Single Family Dwelling,2423,1109 W 16TH ST,"Project: S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 15023276 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-26,houston,New Single Family Dwelling,2424,1109 W 16TH ST,"Project: S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 15023276 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-26,houston,New Single Family Dwelling,2425,1109 W 16TH ST,"Project: S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 15023276 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-27,houston,New Single Family Dwelling,2426,6007  PINE FOREST RD,"Project: 2 STORY S.F. RES W/ ATT GAR (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-19,houston,New Single Family Dwelling,2427,1302  ROBERTS ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-19,houston,New Single Family Dwelling,2428,1304  ROBERTS ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-19,houston,New Single Family Dwelling,2429,1306  ROBERTS ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-19,houston,New Single Family Dwelling,2430,1308  ROBERTS ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-11-19,houston,New Single Family Dwelling,2431,1310  ROBERTS ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
